Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Jack Drury,23,1,63,8,19,27,28,7,731,653,54,22,6,2,0,0,0,14,5,0,4,0,20,7,0,4,0,25.9,0.625,1.484,2.109,0.524,1.224,1.748,2.079,5.196,7.275,0.127,0.302,0.429,89,9.0,24,26,305,258,54.17
K'Andre Miller,23,0,65,8,19,27,30,8,1305,1171,25,109,8,0,0,3,1,17,1,1,3,1,25,1,1,6,2,3.7,0.339,0.806,1.145,0.378,0.804,1.182,0.000,2.154,2.154,0.123,0.292,0.415,78,10.3,125,101,0,0,0.00
Jean-Gabriel Pageau,31,1,66,8,19,27,8,-8,958,756,82,120,7,0,1,1,1,13,1,5,1,0,20,1,6,2,1,3.7,0.455,1.081,1.536,0.505,0.938,1.443,0.000,0.662,0.662,0.121,0.288,0.409,74,10.8,165,62,561,478,53.99
Brandon Montour,29,0,52,6,21,27,32,-3,1394,1135,229,29,5,1,0,3,0,6,15,0,4,1,11,16,0,7,1,59.3,0.298,1.043,1.341,0.305,0.366,0.671,0.302,4.529,4.831,0.115,0.404,0.519,137,4.4,77,51,0,0,0.00
Darren Raddysh,27,0,67,5,22,27,15,-7,1140,1052,34,52,5,0,0,2,1,17,5,0,3,1,22,5,0,5,2,18.5,0.236,1.037,1.272,0.255,0.868,1.123,0.000,7.705,7.705,0.075,0.328,0.403,80,6.3,61,77,0,0,0.00
Dakota Joshua,27,1,53,13,13,26,46,16,842,725,12,104,13,0,0,4,0,13,0,0,1,0,26,0,0,5,0,0.0,1.048,1.048,2.096,1.217,1.217,2.434,0.000,0.000,0.000,0.245,0.245,0.491,69,18.8,195,34,29,33,46.77
Pius Suter,27,1,54,13,13,26,14,17,950,771,100,79,11,2,0,2,0,11,2,0,1,0,22,4,0,3,0,15.4,0.912,0.912,1.824,0.951,0.951,1.901,1.332,1.332,2.665,0.241,0.241,0.481,84,15.5,37,17,161,174,48.06
Kevin Hayes,31,1,67,12,14,26,12,-1,871,762,97,11,12,0,0,2,0,10,4,0,1,0,22,4,0,3,0,15.4,0.740,0.863,1.603,0.845,0.705,1.550,0.000,2.199,2.199,0.179,0.209,0.388,126,9.5,37,17,409,315,56.49
Joseph Veleno,23,1,65,11,15,26,16,-17,874,760,60,53,8,3,0,1,0,12,2,1,2,0,20,5,1,3,0,19.2,0.697,0.950,1.647,0.583,0.874,1.457,2.766,1.844,4.611,0.169,0.231,0.400,74,14.9,80,30,264,281,48.44
Jason Zucker,31,1,55,10,16,26,58,-6,841,735,104,1,6,4,0,0,0,11,5,0,2,1,17,9,0,2,1,34.6,0.778,1.245,2.023,0.534,0.979,1.514,2.495,3.119,5.613,0.182,0.291,0.473,114,8.8,82,15,11,18,37.93
Ondrej Palat,32,1,56,9,17,26,33,-1,940,819,88,32,8,1,0,0,0,13,4,0,2,0,21,5,0,2,0,19.2,0.615,1.162,1.777,0.628,1.020,1.647,0.728,2.911,3.639,0.161,0.304,0.464,89,10.1,80,45,3,12,20.00
Alexander Wennberg,29,1,65,9,17,26,14,1,1110,854,119,136,6,2,1,4,0,14,3,0,2,0,20,5,1,6,0,19.2,0.449,0.848,1.296,0.389,0.907,1.296,0.929,1.393,2.322,0.138,0.262,0.400,81,11.1,40,69,490,559,46.71
Yanni Gourde,32,1,64,8,18,26,58,-6,1067,917,44,105,8,0,0,0,0,15,2,1,2,1,23,2,1,2,1,7.7,0.422,0.949,1.370,0.491,0.920,1.411,0.000,2.555,2.555,0.125,0.281,0.406,130,6.2,122,40,412,456,47.47
