Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Morgan Geekie,25,1,18,2,4,6,6,3,840,760,79,1,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0.0,0.476,0.952,1.427,0.526,1.052,1.578,0.000,0.000,0.000,0.111,0.222,0.333,24,8.3,13,13,48,46,51.06
Vladislav Gavrikov,28,0,21,2,4,6,6,5,1230,1062,17,150,2,0,0,0,0,4,0,0,2,0,6,0,0,2,0,0.0,0.279,0.557,0.836,0.323,0.645,0.968,0.000,0.000,0.000,0.095,0.190,0.286,25,8.0,10,31,0,0,0.00
Christian Fischer,26,1,22,2,4,6,6,4,659,621,6,32,1,0,1,0,0,4,0,0,1,0,5,0,1,1,0,0.0,0.496,0.992,1.488,0.263,1.054,1.317,0.000,0.000,0.000,0.091,0.182,0.273,28,7.1,26,6,21,30,41.18
Ryan Poehling,24,1,22,2,4,6,4,-4,772,668,12,92,1,0,1,1,0,4,0,0,0,0,5,0,1,1,0,0.0,0.424,0.847,1.271,0.245,0.979,1.224,0.000,0.000,0.000,0.091,0.182,0.273,31,6.5,12,23,113,109,50.90
Lukas Reichel,21,1,22,2,4,6,8,-17,915,760,133,20,0,2,0,0,0,4,0,0,0,0,4,2,0,0,0,33.3,0.358,0.715,1.073,0.000,0.861,0.861,2.449,0.000,2.449,0.091,0.182,0.273,36,5.6,5,7,72,79,47.68
Blake Wheeler,37,1,23,2,4,6,12,-2,750,695,54,0,1,1,0,0,0,4,0,0,0,0,5,1,0,0,0,16.7,0.417,0.834,1.252,0.225,0.900,1.125,2.857,0.000,2.857,0.087,0.174,0.261,37,5.4,9,21,17,8,68.00
Liam O'Brien,29,1,24,2,4,6,66,3,599,577,0,21,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0.0,0.501,1.001,1.502,0.519,1.039,1.558,0.000,0.000,0.000,0.083,0.167,0.250,19,10.5,48,8,4,2,66.67
Drew O'Connor,25,1,24,2,4,6,6,1,845,757,21,66,2,0,0,0,0,4,0,0,1,0,6,0,0,1,0,0.0,0.355,0.710,1.064,0.396,0.792,1.187,0.000,0.000,0.000,0.083,0.167,0.250,41,4.9,10,12,5,8,38.46
Ryan McLeod,24,1,22,1,5,6,4,-4,892,722,69,100,1,0,0,0,0,3,1,1,0,0,4,1,1,0,0,16.7,0.183,0.917,1.100,0.227,0.680,0.906,0.000,2.351,2.351,0.045,0.227,0.273,30,3.3,18,6,122,127,49.00
Jakob Silfverberg,33,1,23,1,5,6,4,-2,761,599,118,43,1,0,0,0,0,3,2,0,1,0,4,2,0,1,0,33.3,0.206,1.028,1.233,0.261,0.783,1.044,0.000,2.647,2.647,0.043,0.217,0.261,31,3.2,6,10,6,8,42.86
